resultNumber,censusMetropolitanArea,province,forwardSortationAreaCodes,testDurationInDays,averageRadonConcentrationInBqPerM3,averageThoronConcentrationInBqPerM3
2545,Montreal CMA,QC,*,92,45,14
2546,Montreal CMA,QC,*,91,16,17
2547,Montreal CMA,QC,*,94,134,14
2548,Montreal CMA,QC,*,92,339,28
2549,Montreal CMA,QC,*,93,21,14
2550,Montreal CMA,QC,*,92,41,14
2551,Montreal CMA,QC,*,90,30,26
2552,Montreal CMA,QC,*,113,239,14
2553,Montreal CMA,QC,*,97,543,14
2554,Montreal CMA,QC,*,92,181,14
2555,Montreal CMA,QC,*,90,41,18
2556,Montreal CMA,QC,*,99,62,14
2557,Montreal CMA,QC,*,92,14,14
2558,Montreal CMA,QC,*,94,57,15
2559,Montreal CMA,QC,*,104,122,14
2560,Montreal CMA,QC,*,92,22,14
2561,Montreal CMA,QC,*,92,193,14
2562,Montreal CMA,QC,*,115,22,14
2563,Montreal CMA,QC,*,92,141,14
2564,Montreal CMA,QC,*,95,80,14
2565,Montreal CMA,QC,*,93,196,20
2566,Montreal CMA,QC,H1C,91,108,16
2567,Montreal CMA,QC,H1C,110,187,14
2568,Montreal CMA,QC,H1E,91,715,26
2569,Montreal CMA,QC,H1E,93,127,14
2570,Montreal CMA,QC,H1V,93,74,20
2571,Montreal CMA,QC,H1V,91,27,23
2572,Ottawa - Gatineau CMA,QC,*,92,106,16
2573,Ottawa - Gatineau CMA,QC,*,98,57,14
2574,Ottawa - Gatineau CMA,QC,J8L,123,105,14
2575,Ottawa - Gatineau CMA,QC,J8L,113,38,14
2576,Ottawa - Gatineau CMA,QC,J8M,91,177,14
2577,Ottawa - Gatineau CMA,QC,J8M,90,85,14
2578,Ottawa - Gatineau CMA,QC,J8P,110,59,21
2579,Ottawa - Gatineau CMA,QC,J8P,91,48,14
2580,Ottawa - Gatineau CMA,QC,J8T,92,58,17
2581,Ottawa - Gatineau CMA,QC,J8T,93,130,14
2582,Ottawa - Gatineau CMA,QC,J8T,96,153,14
2583,Ottawa - Gatineau CMA,QC,J8V,92,290,14
2584,Ottawa - Gatineau CMA,QC,J8V,96,133,14
2585,Ottawa - Gatineau CMA,QC,J8V,100,102,14
2586,Ottawa - Gatineau CMA,QC,J8Y,96,297,23
2587,Ottawa - Gatineau CMA,QC,J8Y,91,36,18
2588,Ottawa - Gatineau CMA,QC,J8Z,91,268,14
2589,Ottawa - Gatineau CMA,QC,J8Z,91,536,14
2590,Ottawa - Gatineau CMA,QC,J8Z,92,46,14
2591,Ottawa - Gatineau CMA,QC,J9A,95,14,16
2592,Ottawa - Gatineau CMA,QC,J9A,102,29,14
2593,Ottawa - Gatineau CMA,QC,J9H,92,194,17
2594,Ottawa - Gatineau CMA,QC,J9H,89,56,14
2595,Ottawa - Gatineau CMA,QC,J9J,91,88,14
2596,Ottawa - Gatineau CMA,QC,J9J,93,48,14
2597,Quebec CMA,QC,*,126,140,14
2598,Quebec CMA,QC,*,89,183,14
2599,Quebec CMA,QC,*,91,58,14
2600,Quebec CMA,QC,*,91,17,14
2601,Quebec CMA,QC,G1B,93,31,14
2602,Quebec CMA,QC,G1B,104,208,40
2603,Quebec CMA,QC,G1C,91,16,14
2604,Quebec CMA,QC,G1C,100,37,14
2605,Quebec CMA,QC,G1C,91,38,14
2606,Quebec CMA,QC,G1C,93,84,14
2607,Quebec CMA,QC,G1C,91,14,14
2608,Quebec CMA,QC,G1C,64,61,14
2609,Quebec CMA,QC,G1E,91,50,14
2610,Quebec CMA,QC,G1E,129,68,14
2611,Quebec CMA,QC,G1E,112,364,43
2612,Quebec CMA,QC,G1E,91,274,14
2613,Quebec CMA,QC,G1G,91,14,14
2614,Quebec CMA,QC,G1G,91,17,14
2615,Quebec CMA,QC,G1G,97,100,14
2616,Quebec CMA,QC,G1G,91,14,74
2617,Quebec CMA,QC,G1G,94,157,14
2618,Quebec CMA,QC,G1H,94,74,14
2619,Quebec CMA,QC,G1H,91,37,14
2620,Quebec CMA,QC,G1H,94,21,14
2621,Quebec CMA,QC,G1H,93,16,14
2622,Quebec CMA,QC,G1H,93,39,14
2623,Quebec CMA,QC,G1H,89,39,14
2624,Quebec CMA,QC,G1J,91,360,14
2625,Quebec CMA,QC,G1J,96,221,14
2626,Quebec CMA,QC,G1J,108,32,14
2627,Quebec CMA,QC,G1K,93,18,14
2628,Quebec CMA,QC,G1K,109,28,14
2629,Quebec CMA,QC,G1K,92,75,14
2630,Quebec CMA,QC,G1K,92,310,14
2631,Quebec CMA,QC,G1K,91,55,14
2632,Quebec CMA,QC,G1L,92,18,14
2633,Quebec CMA,QC,G1L,91,52,14
2634,Quebec CMA,QC,G1L,90,24,14
2635,Quebec CMA,QC,G1M,109,85,14
2636,Quebec CMA,QC,G1M,91,17,14
2637,Quebec CMA,QC,G1M,94,38,14
2638,Quebec CMA,QC,G1P,92,72,14
2639,Quebec CMA,QC,G1P,98,398,14
2640,Quebec CMA,QC,G1S,95,137,14
2641,Quebec CMA,QC,G1S,97,224,14
2642,Quebec CMA,QC,G1T,91,29,17
2643,Quebec CMA,QC,G1T,93,890,14
2644,Quebec CMA,QC,G1V,107,61,14
2645,Quebec CMA,QC,G1V,95,47,14
2646,Quebec CMA,QC,G1V,90,21,14
2647,Quebec CMA,QC,G1V,96,121,14
2648,Quebec CMA,QC,G1W,93,167,14
2649,Quebec CMA,QC,G1W,95,14,14
2650,Quebec CMA,QC,G1W,90,63,14
2651,Quebec CMA,QC,G1W,90,212,14
2652,Quebec CMA,QC,G1X,90,192,14
2653,Quebec CMA,QC,G1X,93,300,14
2654,Quebec CMA,QC,G1X,108,142,26
2655,Quebec CMA,QC,G1X,96,56,17
2656,Quebec CMA,QC,G1Y,92,97,14
2657,Quebec CMA,QC,G1Y,92,77,73
2658,Quebec CMA,QC,G1Y,100,150,14
2659,Quebec CMA,QC,G1Y,91,85,14
2660,Quebec CMA,QC,G2A,91,93,N/A
2661,Quebec CMA,QC,G2A,91,279,14
2662,Quebec CMA,QC,G2B,103,46,14
2663,Quebec CMA,QC,G2B,91,31,17
2664,Quebec CMA,QC,G2B,91,16,14
2665,Quebec CMA,QC,G2B,90,25,14
2666,Quebec CMA,QC,G2C,103,63,14
2667,Quebec CMA,QC,G2C,92,99,14
2668,Quebec CMA,QC,G2C,91,39,14
2669,Quebec CMA,QC,G2E,90,29,14
2670,Quebec CMA,QC,G2E,93,50,14
2671,Quebec CMA,QC,G2E,98,23,141
2672,Quebec CMA,QC,G2G,91,116,14
2673,Quebec CMA,QC,G2G,92,23,14
2674,Quebec CMA,QC,G2G,92,63,40
2675,Quebec CMA,QC,G2K,90,49,14
2676,Quebec CMA,QC,G2K,93,67,14
2677,Quebec CMA,QC,G2K,92,50,14
2678,Quebec CMA,QC,G2L,100,76,14
2679,Quebec CMA,QC,G2L,92,376,14
2680,Quebec CMA,QC,G2L,92,63,14
2681,Quebec CMA,QC,G2L,98,140,14
2682,Quebec CMA,QC,G3E,104,155,14
2683,Quebec CMA,QC,G3E,91,104,14
2684,Quebec CMA,QC,G3E,95,963,14
2685,Quebec CMA,QC,G3G,102,431,14
2686,Quebec CMA,QC,G3G,91,204,14
2687,Quebec CMA,QC,G3J,92,33,14
2688,Quebec CMA,QC,G3J,93,129,14
2689,Quebec CMA,QC,G3J,92,89,14
2690,Quebec CMA,QC,G3J,91,57,14
2691,Quebec CMA,QC,G3K,93,118,14
2692,Quebec CMA,QC,G3K,89,77,28
2693,Quebec CMA,QC,G3K,252,53,14
2694,Quebec CMA,QC,G3K,125,24,14
2695,Saguenay CMA,QC,G7B,119,28,14
2696,Saguenay CMA,QC,G7B,91,206,14
2697,Saguenay CMA,QC,G7B,96,25,14
2698,Saguenay CMA,QC,G7B,91,49,14
2699,Saguenay CMA,QC,G7B,91,106,14
2700,Saguenay CMA,QC,G7B,72,50,14
2701,Saguenay CMA,QC,G7B,92,85,14
2702,Saguenay CMA,QC,G7B,95,187,14
2703,Saguenay CMA,QC,G7G,107,176,14
2704,Saguenay CMA,QC,G7G,93,90,14
2705,Saguenay CMA,QC,G7G,92,26,14
2706,Saguenay CMA,QC,G7G,92,14,65
2707,Saguenay CMA,QC,G7G,92,14,16
2708,Saguenay CMA,QC,G7G,101,101,14
2709,Saguenay CMA,QC,G7G,97,32,14
2710,Saguenay CMA,QC,G7G,91,33,41
2711,Saguenay CMA,QC,G7H,91,105,14
2712,Saguenay CMA,QC,G7H,93,25,14
2713,Saguenay CMA,QC,G7H,91,25,14
2714,Saguenay CMA,QC,G7H,115,39,24
2715,Saguenay CMA,QC,G7H,97,28,14
2716,Saguenay CMA,QC,G7H,90,52,14
2717,Saguenay CMA,QC,G7H,104,268,14
2718,Saguenay CMA,QC,G7H,91,22,14
2719,Saguenay CMA,QC,G7H,100,104,14
2720,Saguenay CMA,QC,G7H,90,191,14
2721,Saguenay CMA,QC,G7H,90,216,14
2722,Saguenay CMA,QC,G7H,102,31,14
2723,Saguenay CMA,QC,G7J,92,47,14
2724,Saguenay CMA,QC,G7J,94,14,16
2725,Saguenay CMA,QC,G7J,91,26,14
2726,Saguenay CMA,QC,G7J,97,112,14
2727,Saguenay CMA,QC,G7J,92,369,19
2728,Saguenay CMA,QC,G7J,93,177,14
2729,Saguenay CMA,QC,G7J,91,64,14
2730,Saguenay CMA,QC,G7J,91,14,14
2731,Saguenay CMA,QC,G7J,93,66,14
2732,Saguenay CMA,QC,G7K,93,37,14
2733,Saguenay CMA,QC,G7K,91,49,14
2734,Saguenay CMA,QC,G7K,87,88,14
2735,Saguenay CMA,QC,G7N,84,78,25
2736,Saguenay CMA,QC,G7N,104,43,14
2737,Saguenay CMA,QC,G7N,109,20,14
2738,Saguenay CMA,QC,G7N,103,18,14
2739,Saguenay CMA,QC,G7N,91,17,14
2740,Saguenay CMA,QC,G7N,93,99,14
2741,Saguenay CMA,QC,G7N,91,294,14
2742,Saguenay CMA,QC,G7N,106,233,14
2743,Saguenay CMA,QC,G7P,95,215,28
2744,Saguenay CMA,QC,G7P,85,75,21
2745,Saguenay CMA,QC,G7P,90,14,14
2746,Saguenay CMA,QC,G7P,91,200,33
2747,Saguenay CMA,QC,G7S,93,22,14
2748,Saguenay CMA,QC,G7S,91,42,14
2749,Saguenay CMA,QC,G7S,93,55,14
2750,Saguenay CMA,QC,G7S,98,193,14
2751,Saguenay CMA,QC,G7S,92,16,14
2752,Saguenay CMA,QC,G7S,122,82,14
2753,Saguenay CMA,QC,G7S,93,14,14
2754,Saguenay CMA,QC,G7S,91,704,14
2755,Saguenay CMA,QC,G7S,93,14,164
2756,Saguenay CMA,QC,G7S,91,16,21
2757,Saguenay CMA,QC,G7S,93,118,14
2758,Saguenay CMA,QC,G7S,91,73,14
2759,Saguenay CMA,QC,G7S,92,33,14
2760,Saguenay CMA,QC,G7X,91,62,14
2761,Saguenay CMA,QC,G7X,105,14,19
2762,Saguenay CMA,QC,G7X,91,33,14
2763,Saguenay CMA,QC,G7X,90,17,18
2764,Saguenay CMA,QC,G7X,128,61,14
2765,Saguenay CMA,QC,G7X,91,36,14
2766,Saguenay CMA,QC,G7X,91,60,14
2767,Saguenay CMA,QC,G7X,94,99,14
2768,Saguenay CMA,QC,G7X,93,30,14
2769,Saguenay CMA,QC,G7X,99,34,14
2770,Saguenay CMA,QC,G7X,92,100,14
2771,Saguenay CMA,QC,G7X,97,33,14
2772,Saguenay CMA,QC,G7X,104,52,15
2773,Saguenay CMA,QC,G7Y,91,127,14
2774,Saguenay CMA,QC,G7Y,128,125,22
2775,Saguenay CMA,QC,G7Z,98,38,14
2776,Saguenay CMA,QC,G7Z,98,69,14
2777,Saguenay CMA,QC,G7Z,100,76,17
2778,Saguenay CMA,QC,G7Z,90,22,14
2779,Saguenay CMA,QC,G7Z,119,48,14
2780,Saguenay CMA,QC,G7Z,92,35,14
2781,Saguenay CMA,QC,G8A,91,54,14
2782,Saguenay CMA,QC,G8A,103,248,25
2783,Saguenay CMA,QC,G8A,90,33,14
2784,Saguenay CMA,QC,G8A,108,58,14
2785,Saguenay CMA,QC,G8A,92,17,14
2786,Saguenay CMA,QC,G8A,91,70,14
2787,Saguenay CMA,QC,G8J,98,29,14
2788,Saguenay CMA,QC,G8J,92,209,14
2789,Saguenay CMA,QC,G8J,83,77,21
2790,Saguenay CMA,QC,G8J,91,165,14
2791,Saguenay CMA,QC,G8J,91,58,14
2792,Saguenay CMA,QC,G8J,109,496,14
2793,Sherbrooke CMA,QC,J1C,91,65,14
2794,Sherbrooke CMA,QC,J1C,92,1083,14
2795,Sherbrooke CMA,QC,J1C,94,82,14
2796,Sherbrooke CMA,QC,J1C,91,198,14
2797,Sherbrooke CMA,QC,J1C,91,30,14
2798,Sherbrooke CMA,QC,J1C,98,621,14
2799,Sherbrooke CMA,QC,J1C,139,47,18
2800,Sherbrooke CMA,QC,J1E,91,408,14
2801,Sherbrooke CMA,QC,J1E,89,121,14
2802,Sherbrooke CMA,QC,J1E,90,64,14
2803,Sherbrooke CMA,QC,J1E,93,74,14
2804,Sherbrooke CMA,QC,J1E,88,90,17
2805,Sherbrooke CMA,QC,J1E,91,482,14
2806,Sherbrooke CMA,QC,J1E,92,111,14
2807,Sherbrooke CMA,QC,J1E,91,123,19
2808,Sherbrooke CMA,QC,J1E,114,56,16
2809,Sherbrooke CMA,QC,J1E,100,96,14
2810,Sherbrooke CMA,QC,J1G,91,90,14
2811,Sherbrooke CMA,QC,J1G,94,57,14
2812,Sherbrooke CMA,QC,J1G,99,521,26
2813,Sherbrooke CMA,QC,J1G,94,49,14
2814,Sherbrooke CMA,QC,J1G,125,75,18
2815,Sherbrooke CMA,QC,J1G,91,568,14
2816,Sherbrooke CMA,QC,J1G,100,1049,14
2817,Sherbrooke CMA,QC,J1G,105,466,20
2818,Sherbrooke CMA,QC,J1G,91,112,14
2819,Sherbrooke CMA,QC,J1G,92,56,14
2820,Sherbrooke CMA,QC,J1H,101,108,14
2821,Sherbrooke CMA,QC,J1H,98,34,14
2822,Sherbrooke CMA,QC,J1H,102,66,14
2823,Sherbrooke CMA,QC,J1H,91,62,14
2824,Sherbrooke CMA,QC,J1H,94,31,14
2825,Sherbrooke CMA,QC,J1H,91,67,15
2826,Sherbrooke CMA,QC,J1H,91,179,14
2827,Sherbrooke CMA,QC,J1H,98,36,14
2828,Sherbrooke CMA,QC,J1H,95,45,14
2829,Sherbrooke CMA,QC,J1H,91,219,14
2830,Sherbrooke CMA,QC,J1H,92,194,18
2831,Sherbrooke CMA,QC,J1J,144,74,14
2832,Sherbrooke CMA,QC,J1J,91,637,N/A
2833,Sherbrooke CMA,QC,J1J,91,153,14
2834,Sherbrooke CMA,QC,J1J,92,223,14
2835,Sherbrooke CMA,QC,J1J,91,199,14
2836,Sherbrooke CMA,QC,J1J,86,164,14
2837,Sherbrooke CMA,QC,J1J,91,858,14
2838,Sherbrooke CMA,QC,J1J,93,314,14
2839,Sherbrooke CMA,QC,J1J,91,26,14
2840,Sherbrooke CMA,QC,J1J,105,241,14
2841,Sherbrooke CMA,QC,J1J,91,99,32
2842,Sherbrooke CMA,QC,J1K,92,60,14
2843,Sherbrooke CMA,QC,J1K,103,99,14
2844,Sherbrooke CMA,QC,J1K,84,39,14
2845,Sherbrooke CMA,QC,J1K,106,33,14
2846,Sherbrooke CMA,QC,J1K,90,107,41
2847,Sherbrooke CMA,QC,J1K,90,124,14
2848,Sherbrooke CMA,QC,J1K,96,54,25
2849,Sherbrooke CMA,QC,J1K,92,82,14
2850,Sherbrooke CMA,QC,J1K,91,44,14
2851,Sherbrooke CMA,QC,J1K,90,42,14
2852,Sherbrooke CMA,QC,J1K,95,31,14
2853,Sherbrooke CMA,QC,J1L,91,54,24
2854,Sherbrooke CMA,QC,J1L,94,55,14
2855,Sherbrooke CMA,QC,J1L,91,518,27
2856,Sherbrooke CMA,QC,J1L,91,1125,14
2857,Sherbrooke CMA,QC,J1L,80,1156,14
2858,Sherbrooke CMA,QC,J1L,92,140,21
2859,Sherbrooke CMA,QC,J1L,91,83,14
2860,Sherbrooke CMA,QC,J1L,92,362,14
2861,Sherbrooke CMA,QC,J1L,90,1260,14
2862,Sherbrooke CMA,QC,J1L,92,953,14
2863,Sherbrooke CMA,QC,J1L,39,1679,14
2864,Sherbrooke CMA,QC,J1M,90,1442,14
2865,Sherbrooke CMA,QC,J1M,89,62,14
2866,Sherbrooke CMA,QC,J1M,92,52,14
2867,Sherbrooke CMA,QC,J1M,98,39,21
2868,Sherbrooke CMA,QC,J1M,94,130,14
2869,Sherbrooke CMA,QC,J1M,91,103,14
2870,Sherbrooke CMA,QC,J1M,91,39,14
2871,Sherbrooke CMA,QC,J1M,97,108,14
2872,Sherbrooke CMA,QC,J1N,96,857,14
2873,Sherbrooke CMA,QC,J1N,91,89,14
2874,Sherbrooke CMA,QC,J1N,119,121,14
2875,Sherbrooke CMA,QC,J1N,91,35,14
2876,Sherbrooke CMA,QC,J1N,133,186,14
2877,Sherbrooke CMA,QC,J1N,93,45,14
2878,Sherbrooke CMA,QC,J1N,91,73,14
2879,Sherbrooke CMA,QC,J1N,91,58,21
2880,Sherbrooke CMA,QC,J1N,91,150,14
2881,Sherbrooke CMA,QC,J1N,91,399,14
2882,Sherbrooke CMA,QC,J1N,92,50,14
2883,Sherbrooke CMA,QC,J1N,95,88,14
2884,Sherbrooke CMA,QC,J1N,97,40,14
2885,Sherbrooke CMA,QC,J1R,95,19,14
2886,Sherbrooke CMA,QC,J1R,91,42,14
2887,Sherbrooke CMA,QC,J1R,91,66,14
2888,Sherbrooke CMA,QC,J1R,97,186,14
2889,Sherbrooke CMA,QC,J1R,89,951,14
2890,Sherbrooke CMA,QC,J1R,91,91,14
2891,Sherbrooke CMA,QC,J1R,93,31,14
2892,Sherbrooke CMA,QC,J1R,98,23,45
2893,Sherbrooke CMA,QC,J1R,103,68,14
2894,Sherbrooke CMA,QC,J1R,91,55,14
2895,Sherbrooke CMA,QC,J1R,94,72,20
2896,Sherbrooke CMA,QC,J1R,95,83,14
2897,Trois-Rivieres CMA,QC,G8T,125,41,14
2898,Trois-Rivieres CMA,QC,G8T,98,79,14
2899,Trois-Rivieres CMA,QC,G8T,91,95,14
2900,Trois-Rivieres CMA,QC,G8T,102,53,14
2901,Trois-Rivieres CMA,QC,G8T,110,67,14
2902,Trois-Rivieres CMA,QC,G8T,99,66,14
2903,Trois-Rivieres CMA,QC,G8T,92,35,17
2904,Trois-Rivieres CMA,QC,G8T,91,46,19
2905,Trois-Rivieres CMA,QC,G8T,113,85,17
2906,Trois-Rivieres CMA,QC,G8T,90,82,14
2907,Trois-Rivieres CMA,QC,G8T,101,29,14
2908,Trois-Rivieres CMA,QC,G8T,92,14,14
2909,Trois-Rivieres CMA,QC,G8T,97,45,N/A
2910,Trois-Rivieres CMA,QC,G8V,99,28,18
2911,Trois-Rivieres CMA,QC,G8V,91,21,22
2912,Trois-Rivieres CMA,QC,G8V,113,33,14
2913,Trois-Rivieres CMA,QC,G8V,91,44,14
2914,Trois-Rivieres CMA,QC,G8V,93,16,98
2915,Trois-Rivieres CMA,QC,G8V,93,21,18
2916,Trois-Rivieres CMA,QC,G8V,91,75,14
2917,Trois-Rivieres CMA,QC,G8W,112,42,14
2918,Trois-Rivieres CMA,QC,G8W,99,46,14
2919,Trois-Rivieres CMA,QC,G8W,92,66,14
2920,Trois-Rivieres CMA,QC,G8W,91,17,14
2921,Trois-Rivieres CMA,QC,G8W,90,52,14
2922,Trois-Rivieres CMA,QC,G8W,100,46,14
2923,Trois-Rivieres CMA,QC,G8W,105,41,14
2924,Trois-Rivieres CMA,QC,G8W,90,31,14
2925,Trois-Rivieres CMA,QC,G8W,93,59,14
2926,Trois-Rivieres CMA,QC,G8W,92,14,14
2927,Trois-Rivieres CMA,QC,G8W,92,20,14
2928,Trois-Rivieres CMA,QC,G8W,91,35,14
2929,Trois-Rivieres CMA,QC,G8W,92,40,16
2930,Trois-Rivieres CMA,QC,G8Y,92,41,14
2931,Trois-Rivieres CMA,QC,G8Y,97,17,14
2932,Trois-Rivieres CMA,QC,G8Y,110,54,33
2933,Trois-Rivieres CMA,QC,G8Y,91,49,14
2934,Trois-Rivieres CMA,QC,G8Y,91,58,17
2935,Trois-Rivieres CMA,QC,G8Y,101,42,14
2936,Trois-Rivieres CMA,QC,G8Y,95,16,14
2937,Trois-Rivieres CMA,QC,G8Y,95,50,14
2938,Trois-Rivieres CMA,QC,G8Y,91,14,14
2939,Trois-Rivieres CMA,QC,G8Y,91,24,14
2940,Trois-Rivieres CMA,QC,G8Y,90,55,14
2941,Trois-Rivieres CMA,QC,G8Y,107,61,14
2942,Trois-Rivieres CMA,QC,G8Y,92,54,14
2943,Trois-Rivieres CMA,QC,G8Y,99,32,14
2944,Trois-Rivieres CMA,QC,G8Y,90,60,14
2945,Trois-Rivieres CMA,QC,G8Y,92,67,14
2946,Trois-Rivieres CMA,QC,G8Y,91,57,14
2947,Trois-Rivieres CMA,QC,G8Z,123,16,22
2948,Trois-Rivieres CMA,QC,G8Z,98,31,14
2949,Trois-Rivieres CMA,QC,G8Z,91,70,14
2950,Trois-Rivieres CMA,QC,G8Z,91,40,14
2951,Trois-Rivieres CMA,QC,G8Z,91,34,22
2952,Trois-Rivieres CMA,QC,G8Z,91,45,21
2953,Trois-Rivieres CMA,QC,G8Z,91,63,14
2954,Trois-Rivieres CMA,QC,G8Z,91,35,14
2955,Trois-Rivieres CMA,QC,G8Z,94,34,19
2956,Trois-Rivieres CMA,QC,G8Z,94,35,14
2957,Trois-Rivieres CMA,QC,G8Z,91,29,14
2958,Trois-Rivieres CMA,QC,G8Z,93,56,14
2959,Trois-Rivieres CMA,QC,G8Z,97,21,14
2960,Trois-Rivieres CMA,QC,G9A,92,14,45
2961,Trois-Rivieres CMA,QC,G9A,91,25,14
2962,Trois-Rivieres CMA,QC,G9A,91,46,14
2963,Trois-Rivieres CMA,QC,G9A,93,49,28
2964,Trois-Rivieres CMA,QC,G9A,90,38,22
2965,Trois-Rivieres CMA,QC,G9A,91,93,14
2966,Trois-Rivieres CMA,QC,G9A,91,23,14
2967,Trois-Rivieres CMA,QC,G9A,92,24,14
2968,Trois-Rivieres CMA,QC,G9A,91,21,14
2969,Trois-Rivieres CMA,QC,G9B,92,38,14
2970,Trois-Rivieres CMA,QC,G9B,90,21,14
2971,Trois-Rivieres CMA,QC,G9B,98,14,14
2972,Trois-Rivieres CMA,QC,G9B,91,33,14
2973,Trois-Rivieres CMA,QC,G9B,90,92,14
2974,Trois-Rivieres CMA,QC,G9B,92,27,14
2975,Trois-Rivieres CMA,QC,G9B,93,40,14
2976,Trois-Rivieres CMA,QC,G9B,99,23,16
2977,Trois-Rivieres CMA,QC,G9B,96,36,14
2978,Trois-Rivieres CMA,QC,G9B,91,59,14
2979,Trois-Rivieres CMA,QC,G9B,91,78,14
2980,Trois-Rivieres CMA,QC,G9B,117,21,14
2981,Trois-Rivieres CMA,QC,G9B,92,34,14
2982,Trois-Rivieres CMA,QC,G9B,110,28,14
2983,Trois-Rivieres CMA,QC,G9B,103,68,14
2984,Trois-Rivieres CMA,QC,G9C,98,22,14
2985,Trois-Rivieres CMA,QC,G9C,95,36,21
2986,Trois-Rivieres CMA,QC,G9C,91,50,14
2987,Trois-Rivieres CMA,QC,G9C,98,36,25
2988,Trois-Rivieres CMA,QC,G9C,90,101,31
2989,Trois-Rivieres CMA,QC,G9C,91,89,14
2990,Trois-Rivieres CMA,QC,G9C,97,62,14
2991,Regina CMA,SK,*,166,91,14
2992,Regina CMA,SK,S4L,90,73,14
2993,Regina CMA,SK,S4L,97,129,14
2994,Regina CMA,SK,S4L,91,105,20
2995,Regina CMA,SK,S4L,93,74,22
2996,Regina CMA,SK,S4L,91,230,22
2997,Regina CMA,SK,S4N,93,270,14
2998,Regina CMA,SK,S4N,102,64,14
2999,Regina CMA,SK,S4N,101,599,25
3000,Regina CMA,SK,S4N,91,97,14
3001,Regina CMA,SK,S4N,91,254,14
3002,Regina CMA,SK,S4N,91,448,31
3003,Regina CMA,SK,S4N,100,108,14
3004,Regina CMA,SK,S4N,92,212,14
3005,Regina CMA,SK,S4N,93,336,14
3006,Regina CMA,SK,S4N,90,102,14
3007,Regina CMA,SK,S4N,90,306,14
3008,Regina CMA,SK,S4N,94,145,14
3009,Regina CMA,SK,S4N,91,29,19
3010,Regina CMA,SK,S4N,97,306,14
3011,Regina CMA,SK,S4P,90,190,78
3012,Regina CMA,SK,S4P,91,106,14
3013,Regina CMA,SK,S4P,93,200,14
3014,Regina CMA,SK,S4P,91,630,14
3015,Regina CMA,SK,S4P,98,142,14
3016,Regina CMA,SK,S4P,119,239,14
3017,Regina CMA,SK,S4P,124,80,14
3018,Regina CMA,SK,S4P,91,153,38
3019,Regina CMA,SK,S4P,101,209,14
3020,Regina CMA,SK,S4R,92,630,14
3021,Regina CMA,SK,S4R,103,245,20
3022,Regina CMA,SK,S4R,97,375,14
3023,Regina CMA,SK,S4R,93,750,14
3024,Regina CMA,SK,S4R,90,1133,14
3025,Regina CMA,SK,S4R,118,733,14
3026,Regina CMA,SK,S4R,91,721,14
3027,Regina CMA,SK,S4R,91,313,14
3028,Regina CMA,SK,S4R,92,647,14
3029,Regina CMA,SK,S4R,95,293,14
3030,Regina CMA,SK,S4R,97,229,14
3031,Regina CMA,SK,S4R,92,173,14
3032,Regina CMA,SK,S4R,110,470,14
3033,Regina CMA,SK,S4S,91,354,14
3034,Regina CMA,SK,S4S,91,195,14
3035,Regina CMA,SK,S4S,101,183,14
3036,Regina CMA,SK,S4S,91,175,14
3037,Regina CMA,SK,S4S,91,131,14
3038,Regina CMA,SK,S4S,92,796,14
3039,Regina CMA,SK,S4S,93,105,14
3040,Regina CMA,SK,S4S,100,399,14
3041,Regina CMA,SK,S4S,91,1335,60
3042,Regina CMA,SK,S4S,94,204,14
3043,Regina CMA,SK,S4S,93,1109,14
3044,Regina CMA,SK,S4S,93,1039,14
3045,Regina CMA,SK,S4S,97,195,14
3046,Regina CMA,SK,S4S,90,64,14
3047,Regina CMA,SK,S4S,120,228,14
3048,Regina CMA,SK,S4S,96,92,14
3049,Regina CMA,SK,S4T,91,766,14
3050,Regina CMA,SK,S4T,111,707,14
3051,Regina CMA,SK,S4T,91,175,14
3052,Regina CMA,SK,S4T,91,231,14
3053,Regina CMA,SK,S4T,91,301,14
3054,Regina CMA,SK,S4T,92,104,27
3055,Regina CMA,SK,S4T,91,388,14
3056,Regina CMA,SK,S4T,91,206,14
3057,Regina CMA,SK,S4T,92,241,14
3058,Regina CMA,SK,S4T,59,240,14
3059,Regina CMA,SK,S4T,91,220,14
3060,Regina CMA,SK,S4T,95,474,14
3061,Regina CMA,SK,S4T,92,438,14
3062,Regina CMA,SK,S4T,92,151,23
3063,Regina CMA,SK,S4V,96,95,14
3064,Regina CMA,SK,S4V,90,255,14
3065,Regina CMA,SK,S4V,90,196,14
3066,Regina CMA,SK,S4V,92,145,14
3067,Regina CMA,SK,S4V,149,127,14
3068,Regina CMA,SK,S4V,91,185,14
3069,Regina CMA,SK,S4V,93,382,14
3070,Regina CMA,SK,S4W,91,285,14
3071,Regina CMA,SK,S4W,91,282,14
3072,Regina CMA,SK,S4X,91,78,14
3073,Regina CMA,SK,S4X,91,293,14
3074,Regina CMA,SK,S4X,92,93,14
3075,Regina CMA,SK,S4X,94,488,14
3076,Regina CMA,SK,S4X,91,247,19
3077,Regina CMA,SK,S4X,91,200,14
3078,Regina CMA,SK,S4X,104,242,14
3079,Regina CMA,SK,S4X,91,143,14
3080,Regina CMA,SK,S4X,97,137,14
3081,Regina CMA,SK,S4Y,99,94,14
3082,Regina CMA,SK,S4Y,94,190,14
3083,Regina CMA,SK,S4Y,95,191,14
